business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
G.W. Carver middle school;104;;Middle Schools & High Schools;0;4901 Lincoln Dr Miami, FL 33133;25.72679685633;-80.2593880189316;0;https://www.yelp.com/biz/g-w-carver-middle-school-miami
Xceed Preparatory Academy - Miami;105;;Middle Schools & High Schools,College Counseling;0;9350 South Dixie Hwy Miami, FL 33156;25.6834944;-80.3146246;0;https://www.yelp.com/biz/xceed-preparatory-academy-miami-miami
Youth Speaker Dennard Mitchell;106;;Colleges & Universities,Middle Schools & High Schools;0;Miami, FL 33135;25.7686714;-80.2349196;0;https://www.yelp.com/biz/youth-speaker-dennard-mitchell-miami
Miami-Dade County Public Schools;107;;Elementary Schools,Middle Schools & High Schools;0;2420 NW 18th Ave Miami, FL 33142;25.7989149;-80.2257991;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-230
Lincoln-Marti Schools;108;;Child Care & Day Care,Middle Schools & High Schools,Elementary Schools;0;931 SW 1st St Miami, FL 33130;25.77296;-80.2101689;0;https://www.yelp.com/biz/lincoln-marti-schools-miami-6
Miami-Dade County Public Schools;109;;Elementary Schools,Middle Schools & High Schools;0;2950 NW 43rd Ter Miami, FL 33142;25.8145351;-80.2434832;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-95
Westwood Christian Day Schools;110;;Elementary Schools,Middle Schools & High Schools,Preschools,Child Care & Day Care;0;4301 SW 107th Ave Miami, FL 33165;25.7273082;-80.3666902;0;https://www.yelp.com/biz/westwood-christian-day-schools-miami
Miami-Dade County Public Schools;111;;Elementary Schools,Middle Schools & High Schools;0;10151 SW 64th St Miami, FL 33173;25.709573;-80.357629;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-108
Miami-Dade County Public Schools;112;;Elementary Schools,Middle Schools & High Schools;0;10250 SW 57th Ave Miami, FL 33156;25.675748;-80.285692;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-55
Palmetto Bay Academy;113;;Middle Schools & High Schools,Career Counseling;0;16637 S Dixie Hwy Miami, FL 33157;25.6154445;-80.3458734;0;https://www.yelp.com/biz/palmetto-bay-academy-miami-2
Carrollton School of the Sacred Heart;114;;Elementary Schools,Middle Schools & High Schools,Preschools;0;3747 Main Hwy Miami, FL 33133;25.720859;-80.2477127;0;https://www.yelp.com/biz/carrollton-school-of-the-sacred-heart-miami
