business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Kukaramakara;95;5;Bars,American (New),Music Venues;2.0;8601 SW 124th Ave Miami, FL 33183;25.6881188;-80.3920289;0;https://www.yelp.com/biz/kukaramakara-miami-3
Purdy Lounge;96;271;Dance Clubs;4.0;1811 Purdy Ave Miami Beach, FL 33139;25.7938805;-80.1441299;2;https://www.yelp.com/biz/purdy-lounge-miami-beach
Therapy Miami;97;8;Dance Clubs;3.5;60 NE 11th St Miami, FL 33132;25.78458;-80.1927318;2;https://www.yelp.com/biz/therapy-miami-miami-2
Blind Pig Miami;98;9;Cocktail Bars;3.5;28 NE 14th St Miami, FL 33132;25.7881933;-80.1936716;1;https://www.yelp.com/biz/blind-pig-miami-miami
Deja VU;99;3;Dance Clubs;2.5;5757 SW 8th St Miami, FL 33144;25.763614;-80.2892331;2;https://www.yelp.com/biz/deja-vu-miami
Hoy Como Ayer;100;39;Bars,Music Venues;4.0;2212 SW 8th St Miami, FL 33135;25.7652008;-80.2311047;2;https://www.yelp.com/biz/hoy-como-ayer-miami
The Bar at Level 25;101;32;Lounges,American (New);3.5;1395 Brickell Ave Miami, FL 33131;25.7608893753058;-80.1917336001755;3;https://www.yelp.com/biz/the-bar-at-level-25-miami-2
The Electric Pickle;102;128;Lounges,Music Venues;3.5;2826 N Miami Ave Miami, FL 33127;25.8036702;-80.1953112;2;https://www.yelp.com/biz/the-electric-pickle-miami
The Persian P.;103;1;Adult Entertainment;5.0;NW 39th St Miami, FL;25.8119298640096;-80.1954991017573;2;https://www.yelp.com/biz/the-persian-p-miami
Miami Studio City District;104;5;Recording & Rehearsal Studios,Video/Film Production,Music Venues;5.0;1933-43 NE 148th St Miami, FL 33181;25.9123657;-80.1603632;2;https://www.yelp.com/biz/miami-studio-city-district-miami-7
Taberna Las Rosas;105;9;Dive Bars;4.5;2898 NW 7th Ave Miami, FL 33127;25.8034329;-80.207565;2;https://www.yelp.com/biz/taberna-las-rosas-miami
Fat Tuesday;106;63;Bars;3.0;3015 Grand Ave Miami, FL 33133;25.7283681;-80.2419366;2;https://www.yelp.com/biz/fat-tuesday-miami
Wynwood 5th Gyros;107;14;Greek,Mediterranean,Bars;4.5;2451 NW 5th Ave Miami, FL 33127;25.8005127;-80.2028067;2;https://www.yelp.com/biz/wynwood-5th-gyros-miami-3
Providores & Publicans;108;15;Tapas Bars,Supper Clubs,Cocktail Bars;3.5;141 SW 7th St Miami, FL 33130;25.7675239;-80.1960334;2;https://www.yelp.com/biz/providores-and-publicans-miami
Foxxy Lady Cabaret;109;4;Adult Entertainment;3.5;1792 NW 79th St Miami, FL 33147;25.8462077;-80.227201;1;https://www.yelp.com/biz/foxxy-lady-cabaret-miami-2
Secret’s Bar;110;3;Dance Clubs,Dive Bars,Pool Halls;3.0;1750 NW 7th St Miami, FL 33125;25.779622;-80.224064;2;https://www.yelp.com/biz/secrets-bar-miami
Bobbie’s Roundtable Lounge;111;2;Lounges;4.5;11205 NW 7th Ave Miami, FL 33168;25.8775147;-80.2101234;1;https://www.yelp.com/biz/bobbies-roundtable-lounge-miami
Karaoke Plus;112;3;Karaoke,DJs;5.0;;25.7038331;-80.360297;0;https://www.yelp.com/biz/karaoke-plus-miami
The Vault Lounge;113;;Dance Clubs,Lounges;0;139 NE 1st St Miami, FL 33132;25.775463104248;-80.1911315917969;3;https://www.yelp.com/biz/the-vault-lounge-miami
Cava Flamenco Lounge Restaurant;114;96;Lounges,Spanish,Tapas Bars;3.5;3850 S W 8th St Coral Gables, FL 33134;25.764919;-80.258456;2;https://www.yelp.com/biz/cava-flamenco-lounge-restaurant-coral-gables
Clevelander South Beach Hotel and Bar;115;939;Hotels,Sports Bars;3.5;1020 Ocean Dr Miami Beach, FL 33139;25.7807361;-80.1308866;2;https://www.yelp.com/biz/clevelander-south-beach-hotel-and-bar-miami-beach-2
Round Table;116;6;Sports Bars,Lounges;4.5;11205 NW 7th Ave Miami, FL 33168;25.877563;-80.210083;1;https://www.yelp.com/biz/round-table-miami
El Tucán;117;102;Cuban,Latin American,Lounges;3.5;1111 1st Ave Miami, FL 33130;25.763335;-80.194854;4;https://www.yelp.com/biz/el-tuc%C3%A1n-miami
Extacy South;118;1;Dance Clubs,Adult Entertainment;5.0;23101 S Dixie Hwy Miami, FL 33170;25.5521760943473;-80.3949900716543;2;https://www.yelp.com/biz/extacy-south-miami
55th Street Station;119;1;Restaurants,Lounges;5.0;5582 NE 4th Ct Miami, FL 33137;25.8276111;-80.1874041;0;https://www.yelp.com/biz/55th-street-station-miami
El Mencey Restaurante;120;25;Spanish,Wine Bars;5.0;1001 SW 67th Ave Miami, FL 33144;25.7611884800325;-80.3037942945957;2;https://www.yelp.com/biz/el-mencey-restaurante-miami
Bodega;121;780;Bars,Tacos;4.0;1220 16th St Miami Beaach, FL 33139;25.7886732;-80.1416061;2;https://www.yelp.com/biz/bodega-miami-beaach
The Chill Concept;122;1;Music Venues,Museums;5.0;114 NE 20th Ter Miami, FL 33137;25.795958;-80.192457;2;https://www.yelp.com/biz/the-chill-concept-miami
The Bohemia Room;123;5;Music Venues,Performing Arts;4.5;697 N Miami Ave Miami, FL 33136;25.7806919;-80.1936088;2;https://www.yelp.com/biz/the-bohemia-room-miami
Caleb Auditorium;124;1;Music Venues;5.0;5400 NW 22nd Ave Miami, FL 33142;25.8247243;-80.2334124;0;https://www.yelp.com/biz/caleb-auditorium-miami
Trade;125;25;Dance Clubs,Music Venues;4.5;1439 Washington Ave Miami Beach, FL 33139;25.7867765;-80.1314715;2;https://www.yelp.com/biz/trade-miami-beach
SheLife;126;;Gay Bars,Dance Clubs;0;7335 NW 36th St Miami, FL 33166;25.8103453;-80.3157419;0;https://www.yelp.com/biz/shelife-miami-3
Tucandela Bar;127;4;Dance Clubs,Lounges;4.0;1200 Brickell Bay Dr Miami, FL 33131;25.7618233;-80.190499;0;https://www.yelp.com/biz/tucandela-bar-miami-2
El Patio Wynwood;128;180;Bars;2.5;167 NW 23rd St Miami, FL 33127;25.7993081;-80.1982503;2;https://www.yelp.com/biz/el-patio-wynwood-miami-3
Better Days Miami;129;92;American (New),Lounges;3.5;500 Brickell Bldg Miami, FL 33131;25.7683001935229;-80.1913084834814;2;https://www.yelp.com/biz/better-days-miami-miami
Tap 42;130;341;Gastropubs,Breakfast & Brunch,Beer Bar;4.0;301 Giralda Ave Coral Gables, FL 33134;25.7511526879356;-80.2609388498841;2;https://www.yelp.com/biz/tap-42-coral-gables-2
The Anderson;131;100;Cocktail Bars,American (Traditional),Music Venues;4.0;709 NE 79th St Miami, FL 33138;25.8480887;-80.1822517;2;https://www.yelp.com/biz/the-anderson-miami
White Glove International;132;1;Stadiums & Arenas,Music Venues,Ticket Sales;5.0;350 Biscayne Blvd Miami, FL 33132;25.7780742;-80.188822;0;https://www.yelp.com/biz/white-glove-international-miami
El Capo Brickell;133;13;Cocktail Bars,Mexican;3.0;1250 S Miami Ave Miami, FL 33130;25.7621891519271;-80.1932182163;3;https://www.yelp.com/biz/el-capo-brickell-miami
Bankers Club;134;2;Nightlife;3.0;1 Biscayne Tower Miami, FL 33131;25.76528;-80.1847167;1;https://www.yelp.com/biz/bankers-club-miami
Zhantra Entertainment;135;3;Nightlife,Party & Event Planning;5.0;6711 NE 4th Ave Miami, FL 33138;25.8367135;-80.1890923;3;https://www.yelp.com/biz/zhantra-entertainment-miami-2
Sr Ceviche - Aventura;136;86;Peruvian,Music Venues;4.0;2576 NE Miami Gardens Dr Miami, FL 33180;25.9473649;-80.1496614;2;https://www.yelp.com/biz/sr-ceviche-aventura-miami
Kings Miami - Doral;137;30;American (Traditional),Bowling,Cocktail Bars;4.0;3450 NW 83rd Ave Doral, FL 33122;25.8073304098391;-80.3313092275635;2;https://www.yelp.com/biz/kings-miami-doral-doral
Blue Martini Lounge;138;319;Lounges,American (New);3.0;900 S Miami Ave Miami, FL 33130;25.765364;-80.193363;2;https://www.yelp.com/biz/blue-martini-lounge-miami
Seven Seas;139;66;Dive Bars,Karaoke,Sports Bars;3.5;2200 SW 57th Ave Miami, FL 33155;25.7501905541387;-80.2876140340382;1;https://www.yelp.com/biz/seven-seas-miami-3
Area 31;140;521;Seafood,American (New),Cocktail Bars;3.5;270 Biscayne Boulevard Way Miami, FL 33131;25.7702253553012;-80.1896206576721;3;https://www.yelp.com/biz/area-31-miami
Ebar;141;8;Coffee & Tea,Internet Cafes;3.5;7239 N Kendall Dr Miami, FL 33156;25.6897194;-80.3102279;2;https://www.yelp.com/biz/ebar-miami
Tea & Poets;142;45;Coffee & Tea,Music Venues;5.0;5701 Sunset Dr South Miami, FL 33143;25.705662;-80.286362;1;https://www.yelp.com/biz/tea-and-poets-south-miami
Wonderland Miami;143;33;American (New),Adult Entertainment;3.5;7770 Biscayne Blvd Miami, FL 33138;25.8468999;-80.1849927;3;https://www.yelp.com/biz/wonderland-miami-miami-3
Twelve Miami;144;10;Dance Clubs;1.0;7335 NW 36th St Miami, FL 33166;25.810349;-80.3157317;2;https://www.yelp.com/biz/twelve-miami-miami
Havana Jewel Cigars;145;9;Hookah Bars,Tobacco Shops;5.0;7313 SW 107th Ave Miami, FL 33173;25.6993074;-80.3661222;1;https://www.yelp.com/biz/havana-jewel-cigars-miami-2
Open Stage Club;146;51;Bars,Music Venues,American (New);3.0;2325 Galiano St Coral Gables, FL 33134;25.7508552435874;-80.2566709567352;2;https://www.yelp.com/biz/open-stage-club-coral-gables
G5IVE Miami;147;5;Adult Entertainment,Lounges;2.5;337 NW 170th St Miami, FL 33169;25.9308218;-80.2073047;3;https://www.yelp.com/biz/g5ive-miami-miami-2
SoCal Cantina;148;25;Cocktail Bars,Tacos,Vegetarian;4.5;1000 S Miami Ave Miami, FL 33130;25.7642846;-80.1935585;2;https://www.yelp.com/biz/socal-cantina-miami
Zucca;149;36;Italian,Lounges;4.0;162 Alcazar Ave Coral Gables, FL 33134;25.7528858184814;-80.2584686279297;3;https://www.yelp.com/biz/zucca-coral-gables
Miami Beach SoundScape;150;35;Music Venues,Local Flavor;5.0;400 17th St Miami Beach, FL 33139;25.7916888384298;-80.1327570160774;1;https://www.yelp.com/biz/miami-beach-soundscape-miami-beach
Bardot;151;221;Bars,Music Venues;3.0;3456 N Miami Ave Miami, FL 33127;25.8093320344536;-80.195584;2;https://www.yelp.com/biz/bardot-miami-2
Playmates Club;152;19;Adult Entertainment,Bars,Chicken Wings;2.0;3875 Shipping Ave Miami, FL 33146;25.7332932;-80.2573898;2;https://www.yelp.com/biz/playmates-club-miami-2
Karaoke Miami with Bernie;153;4;Karaoke,DJs,Musicians;5.0;;25.7327581;-80.3547286;2;https://www.yelp.com/biz/karaoke-miami-with-bernie-miami-2
The Clevelander Marlins Park;154;44;American (New),Bars;3.5;501 Marlins Way Miami, FL 33125;25.7780846776859;-80.2184933685089;2;https://www.yelp.com/biz/the-clevelander-marlins-park-miami
Point Lounge & Package Store;155;10;Dive Bars;4.0;2202 NE 123rd St Miami, FL 33181;25.8895291;-80.153695;2;https://www.yelp.com/biz/point-lounge-and-package-store-miami
Las Rosas Bar Miami;156;1;Dive Bars;5.0;2898 NW 7th Ave Miami, FL 33127;25.80344;-80.20756;1;https://www.yelp.com/biz/las-rosas-bar-miami-miami
Bougainvillea’s Old Florida Tavern;157;184;Bars,Music Venues;3.5;7221 SW 58th Ave South Miami, FL 33143;25.7037531;-80.2873176;1;https://www.yelp.com/biz/bougainvilleas-old-florida-tavern-south-miami-2
The Floppy Rooster;158;31;Gay Bars,Adult Entertainment;3.0;7020 NW 72nd Ave Miami, FL 33166;25.8378065;-80.3147899;2;https://www.yelp.com/biz/the-floppy-rooster-miami
Sazon Latino Restaurante & Coffee;159;1;Coffee & Tea,Mexican,Bars;1.0;1101 SW 8th St Miami, FL 33130;25.766144;-80.213084;0;https://www.yelp.com/biz/sazon-latino-restaurante-and-coffee-miami
No Name Chinese;160;23;Chinese,Wine Bars;4.5;7400 SW 57th Ct South Miami, FL 33143;25.7023878;-80.2864587;2;https://www.yelp.com/biz/no-name-chinese-south-miami-2
Musimelange;161;2;Music Venues;5.0;194 NW 30th St Miami, FL 33127;25.8044833;-80.1989944;0;https://www.yelp.com/biz/musimelange-miami
Lekoke Wines & Bites;162;91;Wine Bars,Pizza,Sandwiches;4.5;1225 SW 8th St Miami, FL 33135;25.7658566;-80.2149795;2;https://www.yelp.com/biz/lekoke-wines-and-bites-miami
Hole In The Wall;163;224;American (Traditional),Sports Bars,Chicken Wings;4.0;12055 SW 117th Ave Miami, FL 33186;25.6552104912513;-80.3826954304838;2;https://www.yelp.com/biz/hole-in-the-wall-miami-3
Empire Lounge & Pizzeria;164;66;Pizza,Middle Eastern,Hookah Bars;3.5;5920 S Dixie Hwy Miami, FL 33143;25.7039628;-80.2897897;2;https://www.yelp.com/biz/empire-lounge-and-pizzeria-miami
Pla Cigars & Wine Bar;165;2;Wine Bars,Tobacco Shops,Lounges;5.0;5910 S Dixie Hwy Miami, FL 33143;25.7040895;-80.2895967;2;https://www.yelp.com/biz/pla-cigars-and-wine-bar-miami
Hookah & More;166;3;Hookah Bars,Tobacco Shops,Lounges;5.0;54 NE 167th St Miami, FL 33162;25.9280504;-80.1992615;0;https://www.yelp.com/biz/hookah-and-more-miami
Cabana One;167;11;Lounges;3.0;3000 Florida Ave Coconut Grove, FL 33133;25.7307897;-80.2377078;3;https://www.yelp.com/biz/cabana-one-coconut-grove
